Date,Values
2024-06-05,122.44000244140625
2024-06-06,120.99800109863281
2024-06-07,120.88800048828125
2024-06-10,121.79000091552734
2024-06-11,120.91000366210938
2024-06-12,125.19999694824219
2024-06-13,129.61000061035156
2024-06-14,131.8800048828125
2024-06-17,130.97999572753906
2024-06-18,135.5800018310547
2024-06-20,130.77999877929688
2024-06-21,126.56999969482422
2024-06-24,118.11000061035156
2024-06-25,126.08999633789062
2024-06-26,126.4000015258789
2024-06-27,123.98999786376953
2024-06-28,123.54000091552734
2024-07-01,124.30000305175781
2024-07-02,122.66999816894531
2024-07-03,128.27999877929688
2024-07-05,125.83000183105469
2024-07-08,128.1999969482422
2024-07-09,131.3800048828125
2024-07-10,134.91000366210938
2024-07-11,127.4000015258789
2024-07-12,129.24000549316406
2024-07-15,128.44000244140625
2024-07-16,126.36000061035156
2024-07-17,117.98999786376953
2024-07-18,121.08999633789062
2024-07-19,117.93000030517578
2024-07-22,123.54000091552734
2024-07-23,122.58999633789062
2024-07-24,114.25
2024-07-25,112.27999877929688
2024-07-26,113.05999755859375
2024-07-29,111.58999633789062
2024-07-30,103.7300033569336
2024-07-31,117.0199966430664
2024-08-01,109.20999908447266
2024-08-02,107.2699966430664
2024-08-05,100.44999694824219
2024-08-06,104.25
2024-08-07,98.91000366210938
2024-08-08,104.97000122070312
2024-08-09,104.75
2024-08-12,109.0199966430664
2024-08-13,116.13999938964844
2024-08-14,118.08000183105469
2024-08-15,122.86000061035156
2024-08-16,124.58000183105469
2024-08-19,130.0
2024-08-20,127.25
2024-08-21,128.5
2024-08-22,123.73999786376953
2024-08-23,129.3699951171875
2024-08-26,126.45999908447266
2024-08-27,128.3000030517578
2024-08-28,125.61000061035156
2024-08-29,117.58999633789062
2024-08-30,119.37000274658203
2024-09-03,108.0
2024-09-04,106.20999908447266
2024-09-05,107.20999908447266
2024-09-06,102.83000183105469
2024-09-09,106.47000122070312
2024-09-10,108.0999984741211
2024-09-11,116.91000366210938
2024-09-12,119.13999938964844
2024-09-13,119.0999984741211
2024-09-16,116.77999877929688
2024-09-17,115.58999633789062
2024-09-18,113.37000274658203
2024-09-19,117.87000274658203
2024-09-20,116.0
2024-09-23,116.26000213623047
2024-09-24,120.87000274658203
2024-09-25,123.51000213623047
2024-09-26,124.04000091552734
2024-09-27,121.4000015258789
2024-09-30,121.44000244140625
2024-10-01,117.0
2024-10-02,118.8499984741211
2024-10-03,122.8499984741211
2024-10-04,124.91999816894531
2024-10-07,127.72000122070312
2024-10-08,132.88999938964844
2024-10-09,132.64999389648438
2024-10-10,134.80999755859375
2024-10-11,134.8000030517578
2024-10-14,138.07000732421875
2024-10-15,131.60000610351562
2024-10-16,135.72000122070312
2024-10-17,136.92999267578125
2024-10-18,138.0
2024-10-21,143.7100067138672
2024-10-22,143.58999633789062
2024-10-23,139.55999755859375
2024-10-24,140.41000366210938
2024-10-25,141.5399932861328
2024-10-28,140.52000427246094
2024-10-29,141.25
2024-10-30,139.33999633789062
2024-10-31,132.75999450683594
2024-11-01,135.39999389648438
2024-11-04,136.0500030517578
2024-11-05,139.91000366210938
2024-11-06,145.61000061035156
2024-11-07,148.8800048828125
2024-11-08,147.6300048828125
2024-11-11,145.25999450683594
2024-11-12,148.2899932861328
2024-11-13,146.27000427246094
2024-11-14,146.75999450683594
2024-11-15,141.97999572753906
2024-11-18,140.14999389648438
2024-11-19,147.00999450683594
2024-11-20,145.88999938964844
2024-11-21,146.6699981689453
2024-11-22,141.9499969482422
2024-11-25,136.02000427246094
2024-11-26,136.9199981689453
2024-11-27,135.33999633789062
2024-11-29,138.25
2024-12-02,138.6300048828125
2024-12-03,140.25999450683594
2024-12-04,145.13999938964844
2024-12-05,144.9945068359375
